Bin_Index,Z_Coord,R_Coord,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
0.000000000000000000e+00,-2.512000000000000011e+00,4.099999999999999645e+00,4.170233333333333504e+18,2.264916666666666885e+20,2.334961141978003241e+01,5.173176508335557600e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.517381441300739534e+05,7.776380970176968610e+00
1.000000000000000000e+00,-1.501000000000000112e+00,4.099999999999999645e+00,4.143160000000000000e+19,9.960000000000000000e+19,3.502401477796062323e+01,5.295137033556520834e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.508381903937685420e+05,7.725896372001184886e+01
2.000000000000000000e+00,-4.869999999999999885e-01,4.099999999999999645e+00,2.037104166666666967e+20,1.398312500000000082e+20,3.502004351791627101e+01,5.332025664459289516e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.514481590912267566e+05,3.798659885362500859e+02
3.000000000000000000e+00,5.280000000000000249e-01,4.099999999999999645e+00,2.574041666666666394e+20,1.552750000000000000e+20,3.501463119068615981e+01,5.096366549076045516e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.516662720188503154e+05,4.799906152279873481e+02
4.000000000000000000e+00,1.542999999999999927e+00,4.099999999999999645e+00,2.273850000000000000e+20,1.259850000000000000e+20,3.501326964440912803e+01,4.955143568827052292e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.513865223180319881e+05,4.240128178847762683e+02
5.000000000000000000e+00,2.556999999999999940e+00,4.099999999999999645e+00,1.038746428571428782e+20,8.631607142857143091e+19,3.001546904303151919e+01,5.191391622080484325e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.508531425972002326e+05,1.936987049481359122e+02
6.000000000000000000e+00,3.568999999999999950e+00,4.120000000000000107e+00,8.308750000000000000e+19,1.015375000000000000e+20,2.918221310411788849e+01,5.225360484114933257e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.509306698730774224e+05,1.549361875497563403e+02
7.000000000000000000e+00,4.326000000000000512e+00,4.328600000000000669e+00,3.462500000000000655e+20,2.162000000000000000e+20,3.501416786391222757e+01,5.078896382082892558e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.522974052843733807e+05,6.456645697500000551e+02
8.000000000000000000e+00,4.700800000000000090e+00,4.934300000000000352e+00,2.360572727272726856e+20,1.667477272727272817e+20,3.183347126749914580e+01,5.179165727235191952e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.517141159023504588e+05,4.401843102723840389e+02
9.000000000000000000e+00,4.519300000000000317e+00,5.754100000000000215e+00,1.692231250000000000e+19,6.101562499999999590e+19,2.626671620017206976e+01,5.289603933893760512e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.504977073066778248e+05,3.155563211404346191e+01
1.000000000000000000e+01,3.937400000000000233e+00,6.511700000000000266e+00,1.207727499999999918e+20,7.245500000000000819e+19,2.801635323669552946e+01,5.371327286195999307e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.507787562563453102e+05,2.252092004802146619e+02
1.100000000000000000e+01,3.155499999999999972e+00,7.398000000000000576e+00,1.960312291666666701e+19,2.680437500000000410e+19,2.626849173127734005e+01,5.641288904811341354e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.502413366758865304e+05,3.655463371478974466e+01
1.200000000000000000e+01,2.440500000000000114e+00,7.900399999999999423e+00,2.162106250000000000e+17,6.844031250000000000e+18,2.188824402928536728e+01,5.673309286524613526e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.500526907105708960e+05,4.031755672664364964e-01
1.300000000000000000e+01,1.660299999999999887e+00,8.260299999999999088e+00,1.248076874999999898e+19,1.163598958333333299e+19,3.210458506644710752e+01,5.777884022777701034e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.501121708209589124e+05,2.327332905449240741e+01
1.400000000000000000e+01,6.126000000000000334e-01,8.382100000000001216e+00,2.008013437499999846e+19,1.735923437500000051e+19,2.626790493785476244e+01,5.688609856477067694e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.501700664935957175e+05,3.744413378124639280e+01
1.500000000000000000e+01,-4.409000000000000141e-01,8.290600000000001302e+00,3.536883750000000205e+19,2.881031249999999795e+19,2.626744003510556169e+01,5.604619389407350383e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.502860606684726081e+05,6.595351695883081788e+01
1.600000000000000000e+01,-1.355700000000000127e+00,7.894300000000000317e+00,8.957684375000000512e+18,2.980750000000000000e+19,2.626836807019701325e+01,5.391185859251714874e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.502444292477035196e+05,1.670370953917884194e+01
1.700000000000000000e+01,-2.262999999999999901e+00,7.265100000000000335e+00,2.758413986842104955e+20,1.790750000000000000e+20,3.317546741592767034e+01,5.209584727960574213e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.518824815710803377e+05,5.143711711210947897e+02
1.800000000000000000e+01,-3.250999999999999890e+00,6.057999999999999829e+00,1.675593333333333377e+21,1.039266666666666754e+21,2.801163983585938411e+01,4.904083651533125732e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.610644040755947935e+05,3.124537902216997281e+03
1.900000000000000000e+01,-3.351999999999999869e+00,5.831999999999999851e+00,3.540625000000000098e+21,2.120000000000000000e+21,3.501261634374090193e+01,4.858585992985776869e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.727988605833388865e+05,6.602328136523015928e+03
2.000000000000000000e+01,-3.539000000000000146e+00,5.655000000000000249e+00,4.622499999999999869e+21,2.870000000000000524e+21,3.501257436452136318e+01,4.902807491289197372e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.805461763456804911e+05,8.619738552113720289e+03
2.100000000000000000e+01,-3.770999999999999908e+00,5.567000000000000171e+00,6.375000000000000262e+21,4.287500000000000131e+21,3.501252941176470301e+01,4.899898542274051749e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.946436459232039633e+05,1.188768702427798053e+04
2.200000000000000000e+01,-3.930000000000000160e+00,5.557000000000000384e+00,9.830000000000000524e+21,8.196249999999999410e+21,3.501250000000000284e+01,4.934549794113161170e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.309486628053745953e+05,1.833034720763177393e+04
2.300000000000000000e+01,-4.011000000000000121e+00,5.557000000000000384e+00,2.865000000000000157e+22,1.964999999999999948e+22,3.501250000000000284e+01,4.916514098137511724e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.535481841233934974e+05,5.342466403851986252e+04
2.400000000000000000e+01,-4.081000000000000405e+00,5.557000000000000384e+00,3.689999999999999895e+22,2.643749999999999751e+22,3.501250000000000284e+01,4.927152718676123300e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.207878930723194499e+05,6.880872959935019026e+04
2.500000000000000000e+01,-4.141000000000000014e+00,5.557000000000000384e+00,6.584999999999998899e+22,4.541250000000000406e+22,3.501250000000000284e+01,4.923329674538729250e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.197385829494853970e+05,1.227928142037184152e+05
2.600000000000000000e+01,-4.200999999999999623e+00,5.557000000000000384e+00,1.229999999999999853e+23,7.589999999999999266e+22,3.501250000000000284e+01,4.932065607616098646e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.159228853089025244e+06,2.293624319978339481e+05
2.700000000000000000e+01,-4.261000000000000121e+00,5.557000000000000384e+00,2.333333333333333361e+23,1.242083333333333186e+23,3.501249999999999574e+01,4.919702447175175308e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.734040875585649861e+06,4.351048845487365033e+05
2.800000000000000000e+01,-4.320000000000000284e+00,5.557000000000000384e+00,8.033333333333332984e+23,6.051666666666665789e+23,3.501249999999999574e+01,4.926818179757261618e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.471400918338988908e+06,1.498003959660650231e+06
2.900000000000000000e+01,-4.379999999999999893e+00,5.557000000000000384e+00,1.987142857142856487e+23,8.651571428571426796e+22,3.501249999999999574e+01,4.923614279046434206e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.381518665673055220e+06,3.705495271881382796e+05
3.000000000000000000e+01,-4.440000000000000391e+00,5.557000000000000384e+00,1.062999999999999843e+22,2.973437500000000541e+21,3.501250000000000284e+01,4.949849786309393807e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.925388226225335966e+05,1.982213538322744353e+04
3.100000000000000000e+01,-4.500000000000000000e+00,5.557000000000000384e+00,2.231785714285714080e+21,1.335517857142857007e+21,3.501292076397509589e+01,4.975531558642082786e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.643648773042256362e+05,4.161689423793450260e+03
3.200000000000000000e+01,-4.580000000000000071e+00,5.557000000000000384e+00,8.143333333333332460e+20,6.847916666666666164e+21,2.334298350722781734e+01,4.928578621956194894e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.038357351436589961e+05,1.518516047075090455e+03
3.300000000000000000e+01,-4.413999999999999702e+00,5.413000000000000256e+00,0.000000000000000000e+00,7.497499999999999607e+21,0.000000000000000000e+00,4.926645684538406300e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.072799537830198533e+05,0.000000000000000000e+00
3.400000000000000000e+01,-4.267000000000000348e+00,5.266000000000000014e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,-3.988999999999999879e+00,5.246000000000000441e+00,2.745000000000000000e+20,2.312500000000000393e+21,3.501284153005464361e+01,4.920721081081080683e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.681790779702332220e+05,5.118698177512636676e+02
3.600000000000000000e+01,-3.857000000000000206e+00,5.158000000000000362e+00,3.121666666666666885e+20,1.619166666666666885e+21,3.501269154339193790e+01,4.934362989582407266e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.629523371651711059e+05,5.821081776855596672e+02
3.700000000000000000e+01,-3.770000000000000018e+00,5.043999999999999595e+00,1.444166666666666721e+20,1.127416666666666689e+21,2.334183960546081948e+01,4.908411553926754323e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.588826198930812534e+05,2.692988446153430004e+02
3.800000000000000000e+01,-3.728000000000000203e+00,4.935999999999999943e+00,8.400000000000000000e+19,1.132687499999999951e+21,1.750636160714285694e+01,4.903975454962401415e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.588102273083680775e+05,1.566377584375451590e+02
3.900000000000000000e+01,-3.713000000000000078e+00,4.822000000000000064e+00,2.522500000000000000e+20,1.388750000000000066e+21,3.501258718848909268e+01,4.859246166001877043e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.610802541928512510e+05,4.703794591175091000e+02
4.000000000000000000e+01,-3.721000000000000085e+00,4.735999999999999766e+00,2.645000000000000000e+20,2.253749999999999803e+21,3.501285444234405020e+01,4.940691625069329973e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.677115880325427279e+05,4.932224655563177862e+02
4.100000000000000000e+01,-3.750000000000000000e+00,4.639000000000000234e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,-3.912999999999999812e+00,4.485999999999999766e+00,0.000000000000000000e+00,4.072499999999999869e+21,0.000000000000000000e+00,4.935244014732965923e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.811133860328574083e+05,0.000000000000000000e+00
4.300000000000000000e+01,-3.904999999999999805e+00,4.389000000000000234e+00,1.037500000000000131e+21,6.018749999999999803e+21,2.334362486113791135e+01,4.913810401730544442e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.979171531979016145e+05,1.934662790225632307e+03
4.400000000000000000e+01,-3.898000000000000131e+00,4.291999999999999815e+00,2.415000000000000262e+21,7.637083333333333574e+21,3.501382193489813943e+01,4.953741106406116756e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.128496883887445438e+05,4.503335555079423102e+03
4.500000000000000000e+01,-3.891999999999999904e+00,4.219000000000000306e+00,3.087500000000000131e+21,3.396249999999999934e+21,3.501285425101214344e+01,4.933793522267206555e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.817042913687265827e+05,5.757369990189531563e+03
4.600000000000000000e+01,-3.923999999999999932e+00,4.157000000000000028e+00,3.495000000000000000e+20,1.606875000000000033e+21,3.501250000000000284e+01,4.943212130998794862e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.629280471646272345e+05,6.517249592133575788e+02
4.700000000000000000e+01,-3.869000000000000217e+00,4.184000000000000163e+00,3.903714285714284950e+22,1.100142857142857105e+22,3.501249999999999574e+01,4.948723310478823834e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.068434610119246645e+05,7.279393515415575530e+04
4.800000000000000000e+01,-3.814999999999999947e+00,4.209999999999999964e+00,3.900000000000000713e+23,1.849859375000000051e+23,3.501250000000000284e+01,4.932281260704829151e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.490515952076192480e+06,7.272467356028882787e+05
4.900000000000000000e+01,-3.761000000000000121e+00,4.235999999999999766e+00,5.644999999999998689e+23,4.247812500000000180e+23,3.501250000000000284e+01,4.924918894871109387e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.647918172170735896e+06,1.052643031404693145e+06
5.000000000000000000e+01,-3.706999999999999851e+00,4.262999999999999901e+00,2.996666666666666114e+23,2.568749999999999866e+23,3.501250000000000284e+01,4.927250878207426155e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.871291568704061210e+06,5.587989874418772524e+05
5.100000000000000000e+01,-3.644000000000000128e+00,4.293000000000000149e+00,1.345000000000000157e+23,1.243250000000000092e+23,3.501250000000000284e+01,4.922789923538050516e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.550634196668429533e+06,2.508068870220216922e+05
5.200000000000000000e+01,-3.589999999999999858e+00,4.320000000000000284e+00,6.720000000000001678e+22,6.194374999999999954e+22,3.501249999999999574e+01,4.928397990734264056e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.485526391804377781e+05,1.253102067500361591e+05
5.300000000000000000e+01,-3.536000000000000032e+00,4.346000000000000085e+00,3.468749999999999489e+22,3.075624999999999312e+22,3.501251344086021788e+01,4.897529924675821178e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.496568713542283513e+05,6.468300292621841072e+04
5.400000000000000000e+01,-3.483000000000000096e+00,4.371999999999999886e+00,2.272500000000000079e+22,1.701249999999999987e+22,3.501256875687568737e+01,4.876385011021307747e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.223494608118140604e+05,4.237610786301444750e+04
5.500000000000000000e+01,-3.428999999999999826e+00,4.399000000000000021e+00,1.118499999999999764e+22,1.034249999999999934e+22,3.501260058113545881e+01,4.873661832245588954e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.498724581617419026e+05,2.085706343004692826e+04
5.600000000000000000e+01,-3.375000000000000000e+00,4.424999999999999822e+00,5.972499999999999869e+21,6.488750000000000328e+21,3.501262034323985262e+01,4.923675207089192440e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.107103621900713188e+05,1.113713109843140955e+04
5.700000000000000000e+01,-3.311999999999999833e+00,4.456000000000000405e+00,4.662500000000000918e+21,4.471250000000000197e+21,3.501262734584449277e+01,4.886187587363712481e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.928541136697734473e+05,8.694327960893504496e+03
5.800000000000000000e+01,-3.237000000000000099e+00,4.488999999999999879e+00,3.192499999999999869e+21,3.264999999999999738e+21,3.501262725137039666e+01,4.883366003062786831e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.808973551310920739e+05,5.953167188236462607e+03
5.900000000000000000e+01,-3.136000000000000121e+00,4.514999999999999680e+00,3.591250000000000721e+21,2.695000000000000262e+21,3.501262584659775001e+01,4.883413274862022035e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.772861902363348054e+05,6.696730357009930231e+03
6.000000000000000000e+01,-3.041999999999999815e+00,4.520999999999999908e+00,3.510000000000000000e+21,2.203124999999999967e+21,3.501260718900653757e+01,4.807438907049639454e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.733768175765067572e+05,6.545220620425994639e+03
6.100000000000000000e+01,-2.928999999999999826e+00,4.503999999999999559e+00,2.215000000000000262e+21,1.326375000000000164e+21,3.501352092726649090e+01,4.901667308933636491e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.642637261169094709e+05,4.130388511180505702e+03
6.200000000000000000e+01,-2.786000000000000032e+00,4.442999999999999616e+00,1.047562499999999984e+21,6.313750000000000328e+20,3.501777338569696241e+01,5.147307250309282267e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.567770520061115967e+05,1.953426688371796445e+03
6.300000000000000000e+01,-2.674999999999999822e+00,4.349000000000000199e+00,3.029842333333333606e+20,3.005180555555555246e+20,3.502324593973830247e+01,5.323059067934329391e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.528609053886121837e+05,5.649853708482319234e+02
