Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,4.316697451460721869e+19,6.110249999999999934e+21,9.091139999999999777e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.325284677961953639e+04
47,1.245207492544339640e+20,6.948859999999999607e+21,9.107324999999999449e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.387206773853025516e+04
48,4.172724805317907579e+20,7.087734999999999640e+21,9.342595000000000205e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.432626294589334793e+04
49,1.445017998892920472e+21,1.056403999999999869e+22,1.017722500000000085e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.121595183012606867e+04
50,1.003541013625250723e+22,4.060193333333333115e+22,1.182116666666666704e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.939996598692987754e+04
51,1.123481411966156291e+23,4.315646666666667011e+23,1.422053333333333391e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.118956906154524768e+05
52,1.984054002188672869e+23,6.897275000000000452e+23,1.917089999999999961e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.344918008514281828e+05
53,1.326023477207703434e+23,3.227499999999999963e+23,2.216689999999999827e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.300575483290079283e+05
54,7.111974771766091527e+22,1.513839999999999937e+23,2.291990000000000194e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.510326874888184248e+05
55,3.086375616448978905e+22,3.372767500000000003e+22,1.278912499999999852e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.281870144316131482e+05
56,4.824788520976236151e+21,1.347604999999999967e+21,7.316949999999999932e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.018219242183562601e+05
57,1.853798126289246224e+21,3.447724999999999836e+20,1.030865000000000009e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.393072589428915235e+05
58,7.472082050165030257e+20,2.638236666666666885e+20,1.051923333333333375e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.422799795875989366e+04
59,3.098229495466192404e+20,7.329530000000000000e+19,1.003641999999999967e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.059136358189677412e+04
60,1.960988367720239268e+20,9.613450000000000000e+19,9.695910000000000650e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.162213749570357322e+04
61,7.869989019272609792e+19,8.527373783333332582e+19,8.729295000000000471e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.210433978240327997e+04
