Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
19,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
21,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
24,7.376625000000000000e+19,1.037995000000000000e+17,1.050799999999999983e+02,5.184159999999999968e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.121566500000000087e+04
25,1.392390000000000000e+20,2.328535000000000000e+19,1.264544999999999959e+02,4.119685050000499871e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.408584999999999854e+04
26,2.026555000000000164e+20,4.460005000000000000e+19,1.410604999999999905e+02,5.453744999999999976e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.637014999999999418e+04
27,2.822210000000000328e+20,3.835920000000000000e+19,1.480745000000000005e+02,7.933535000000000537e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.956680000000000291e+04
28,4.456495000000000164e+20,9.835744999999999181e+19,1.489565000000000055e+02,5.027850000000000108e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.791694999999999709e+04
29,8.199930000000000983e+20,1.338955000000000000e+20,1.432269999999999754e+02,4.954189999999999827e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.187379999999998836e+04
30,2.517152499999999787e+21,5.415852500000000573e+20,1.251280000000000143e+02,6.483277499999999804e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.648110000000000000e+05
31,1.236899999999999974e+22,2.608749999999999803e+21,7.433696666666666886e+01,4.730539999999999878e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.991356666666666279e+05
32,5.599622127058822785e+22,1.254107164705882343e+23,2.690501117647058571e+00,2.851326352941176534e+00,6.000000000000000000e+01,4.500000000000000000e+01,3.194461494117646362e+05
