Bin number,Z_start (m),R_start (m),Z_end (m),R_end (m),Material,Thickness (m),Cu thickness (m),mode,S. Area parent bin (m^2),Surface area (m^2),f (ion flux scaling factor),location,rtol,atol,FP max. stepsize (s),Max. stepsize no FP (s),BC Plasma Facing Surface,BC rear surface
1,-2.51,4.1,-1.5,4.1,W,0.006,0.002,high_wetted,26,0.886,0.919,FW,1E-09,100000000000,10,100,Robin - Surf. Rec. + Implantation,Neumann - no flux
1,-2.51,4.1,-1.5,4.1,W,0.006,0.002,low_wetted,26,0.0999,0.0808,FW,1E-09,100000000000,10,100,Dirichlet - 0 concentration + Implantation,Neumann - no flux
1,-2.51,4.1,-1.5,4.1,W,0.006,0.002,shadowed,26,25.1,0,FW,1E-09,100000000000,10,100,Dirichlet - Analyttical implantation approximation,Neumann - no flux
2,-1.5,4.1,-0.487,4.1,W,0.006,0.002,high_wetted,26.1,3.3,0.978,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
2,-1.5,4.1,-0.487,4.1,W,0.006,0.002,low_wetted,26.1,0.137,0.0223,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
2,-1.5,4.1,-0.487,4.1,W,0.006,0.002,shadowed,26.1,22.7,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
3,-0.487,4.1,0.528,4.1,W,0.01,0.004,high_wetted,26.1,1.75,0.435,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
3,-0.487,4.1,0.528,4.1,W,0.01,0.004,low_wetted,26.1,4.46,0.565,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
3,-0.487,4.1,0.528,4.1,W,0.01,0.004,shadowed,26.1,19.9,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
4,0.528,4.1,1.54,4.1,W,0.01,0.004,high_wetted,26.2,0.475,0.284,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
4,0.528,4.1,1.54,4.1,W,0.01,0.004,low_wetted,26.2,3.18,0.716,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
4,0.528,4.1,1.54,4.1,W,0.01,0.004,shadowed,26.2,22.5,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
5,1.54,4.1,2.56,4.1,W,0.01,0.004,high_wetted,26.1,3.9,0.988,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
5,1.54,4.1,2.56,4.1,W,0.01,0.004,low_wetted,26.1,0.164,0.0115,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
5,1.54,4.1,2.56,4.1,W,0.01,0.004,shadowed,26.1,22,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
6,2.56,4.1,3.57,4.12,W,0.012,0.004,high_wetted,26.1,0.31,0.981,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
6,2.56,4.1,3.57,4.12,W,0.012,0.004,low_wetted,26.1,0.00947,0.0189,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
6,2.56,4.1,3.57,4.12,W,0.012,0.004,shadowed,26.1,25.8,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
7,3.57,4.12,4.33,4.33,W,0.012,0.005,high_wetted,20.8,0.31,0.981,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
7,3.57,4.12,4.33,4.33,W,0.012,0.005,low_wetted,20.8,0.00947,0.0189,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
7,3.57,4.12,4.33,4.33,W,0.012,0.005,shadowed,20.8,20.5,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
8,4.33,4.33,4.7,4.93,W,0.012,0.005,high_wetted,20.7,1.94,0.992,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
8,4.33,4.33,4.7,4.93,W,0.012,0.005,low_wetted,20.7,0.0576,0.00813,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
8,4.33,4.33,4.7,4.93,W,0.012,0.005,shadowed,20.7,18.7,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
9,4.7,4.93,4.52,5.75,W,0.012,0.005,high_wetted,28.2,4.86,0.973,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
9,4.7,4.93,4.52,5.75,W,0.012,0.005,low_wetted,28.2,0.311,0.0265,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
9,4.7,4.93,4.52,5.75,W,0.012,0.005,shadowed,28.2,23,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
10,4.52,5.75,3.94,6.51,W,0.012,0.002,high_wetted,24.5,4.86,0.973,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
10,4.52,5.75,3.94,6.51,W,0.012,0.002,low_wetted,24.5,0.311,0.0265,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
10,4.52,5.75,3.94,6.51,W,0.012,0.002,shadowed,24.5,19.3,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
11,3.94,6.51,3.16,7.4,W,0.012,0.002,high_wetted,51.6,4.86,0.973,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
11,3.94,6.51,3.16,7.4,B,1E-07,0,low_wetted,51.6,0.311,0.0265,FW,1E-09,100000000000,5,100,Dirichlet - Analyttical implantation approximation,Neumann - no flux
11,3.94,6.51,3.16,7.4,B,1E-06,0,shadowed,51.6,46.4,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
12,3.16,7.4,2.44,7.9,W,0.012,0.002,high_wetted,42,0.00359,0.00522,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
