Material_name,W,,Material_name,B,,Material_name,SS
Mat_density,6.3382E+028,,Mat_density,1.34E+029,,Mat_density,8.45E+028
D0,2.06E-07,,D0,1.07E-06,,D0,1.45E-06
E_D,0.28,,E_D,0.3,,E_D,0.59
K_R,7.94E-17,,K_R,0,,K_R,1.75E-24
E_R,-2,,E_R,0,,E_R,-0.594
N_traps,2,,N_traps,4,,N_traps,1
Trap_density,1.00E-04,,Trap_density,6.87E-01,,Trap_density,8.00E-04
k_0,3.58E-16,,k_0,7.4627E-17,,k_0,6.74E-26
E_k,0.28,,E_k,0.3,,E_k,0.59
p_0,1.00E+13,,p_0,1.00E+13,,p_0,1.00E+13
E_p,0.85,,E_p,1.052,,E_p,0.7
Trap_density,0.0001,,Trap_density,5.21E-01,,,
k_0,3.58E-16,,k_0,7.4627E-17,,,
E_k,0.28,,E_k,0.3,,,
p_0,1.00E+13,,p_0,1.00E+13,,,
E_p,1,,E_p,1.199,,,
,,,Trap_density,2.47E-01,,,
,,,k_0,7.4627E-17,,,
,,,E_k,0.3,,,
,,,p_0,1.00E+13,,,
,,,E_p,1.389,,,
,,,Trap_density,1.28E-01,,,
,,,k_0,7.4627E-17,,,
,,,E_k,0.3,,,
,,,p_0,1.00E+13,,,
,,,E_p,1.589,,,
