Slow,Stot,Shigh,f,DFW
0.0999324,26.0444314167901,0.88554132,0.080767543062347,
0.1367496,26.1217145960684,3.30329178,0.02231448395567,
4.46355954,26.1474756558278,1.75206042,0.565046732114566,
3.17662308,26.1474756558278,0.47546784,0.716459543678201,
0.1639242,26.1217145960684,3.89569806,0.011513537369332,
0.00946728,26.1388813495252,0.30961512,0.018939716903184,
0.00946728,20.8412295501441,0.30961512,0.018939716903184,
0.05759262,20.7276288438828,1.94350986,0.008132328018357,
0.31066704,28.1943139224409,4.86153594,0.026549538941767,
0.31066704,24.5406739126899,4.86153594,0.026549538941767,6.44
0.31066704,51.6475308969403,4.86153594,0.026549538941767,
5.20297164,41.9988686527128,0.00359406,0.994778029149622,
0.12675636,43.6223283201324,0.13990536,0.258795882344934,
4.43550834,27.5732461755564,11.8,,
4.54771314,27.6944188598641,11.8,,
5.41545948,50.6913689365842,0.08993916,0.94858917359382,
3.5243703,52.5834461142654,0,,
8.33970942,54.3941240837042,0,,
